State Name,District Name,GENERAL Current Population,GENERAL Covered Population,Minority Current Population,Minority Covered Population,Total Current Population,Total Covered Population,gcg,mcm,tct
GUJARAT,JAMNAGAR,1086090.0,1086090.0,99002.0,99002.0,1185092.0,1185092.0,1.0,1.0,1.0
GUJARAT,JUNAGADH,1710400.0,1689603.0,229111.0,229111.0,1939511.0,1918714.0,0.9878408559401309,1.0,0.9892771940968625
GUJARAT,KACHCHH,1019567.0,1019567.0,277786.0,277786.0,1297353.0,1297353.0,1.0,1.0,1.0
GUJARAT,KHEDA,1709124.0,1705046.0,130994.0,130994.0,1840118.0,1836040.0,0.9976139823675755,1.0,0.997783837775621
GUJARAT,MAHESANA,1486432.0,1486432.0,137734.0,137734.0,1624166.0,1624166.0,1.0,1.0,1.0
GUJARAT,NARMADA  ,80039.0,76829.0,489398.0,456145.0,569437.0,532974.0,0.9598945514061895,0.9320532572670914,0.9359665775142817
GUJARAT,NAVSARI  ,361642.0,347900.0,633390.0,614884.0,995032.0,962784.0,0.962001095005558,0.9707826141871517,0.967590992048497
GUJARAT,PANCH MAHALS,1311987.0,1307143.0,702843.0,699098.0,2014830.0,2006241.0,0.9963078902458637,0.9946716407504947,0.9957371093342863
GUJARAT,PATAN  ,962170.0,962170.0,115078.0,115078.0,1077248.0,1077248.0,1.0,1.0,1.0
GUJARAT,PORBANDAR  ,276907.0,276907.0,36337.0,36337.0,313244.0,313244.0,1.0,1.0,1.0
GUJARAT,RAJKOT,1589797.0,1589797.0,165432.0,165432.0,1755229.0,1755229.0,1.0,1.0,1.0
GUJARAT,SABAR KANTHA,1479002.0,1465556.0,632470.0,597273.0,2111472.0,2062829.0,0.9909087344033342,0.9443499296409316,0.9769625171444376
GUJARAT,SURAT,707637.0,706985.0,852398.0,841364.0,1560035.0,1548349.0,0.9990786236446088,0.9870553426920289,0.9925091424230866
GUJARAT,SURENDRANAGAR,1098018.0,1088599.0,154130.0,152789.0,1252148.0,1241388.0,0.9914218164000954,0.9912995523259586,0.9914067666122535
GUJARAT,TAPI,72865.0,72845.0,694641.0,691883.0,767506.0,764728.0,0.9997255197968846,0.9960296037809458,0.9963804843219467
GUJARAT,VADODARA,1144573.0,1139077.0,1120350.0,1119679.0,2264923.0,2258756.0,0.9951982092885294,0.9994010800196367,0.9972771701289624
GUJARAT,VALSAD,315365.0,311225.0,846258.0,837185.0,1161623.0,1148410.0,0.9868723542561794,0.9892786833329789,0.9886253973965736
HARYANA,AMBALA,527089.0,510094.0,234597.0,228590.0,761686.0,738684.0,0.9677568683846561,0.9743943869699954,0.9698012041707476
HARYANA,BHIWANI,1083192.0,1003806.0,265784.0,249374.0,1348976.0,1253180.0,0.9267110539959674,0.9382581344249465,0.9289861346680741
HARYANA,FARIDABAD,283500.0,262902.0,61420.0,57492.0,344920.0,320394.0,0.9273439153439154,0.9360468902637578,0.928893656500058
HARYANA,FATEHABAD ,536031.0,526596.0,221238.0,217740.0,757269.0,744336.0,0.982398406062336,0.9841889729612453,0.9829215245837345
HARYANA,GURGAON,555692.0,527573.0,109667.0,102743.0,665359.0,630316.0,0.9493982277952535,0.9368634137890158,0.9473321920947939
